,app,google_score,reviews,user_grade
106,Infinite Painter,"3,9",Je ne peux pas vraiment noter cette application car je n'arrive pas a l'installer j'ai essayé avec une autre appli et ça a marché je me suis dit que c'était peut-être ma tablette qui avait un problème du coup j'ai essayé sur mon téléphone mais ça ne marche toujours pas🙁,5
107,Infinite Painter,"3,9",c'est pour moi la meilleure appli de dessin.... pourquoi je mets 2 étoiles ?! à près tout est payant il ne nous reste plus que les différents crayon et les couleurs. Il n'y a plus de calque plus de règles. on ne peut plus faire de différentes étapes ! ils n'y a plus de vrai détails à faire du coup. et c'est vraiment dommage. Il faut bien qu'on vous paye .. Ça oui. Mais là c'est vraiment tout payant.,2
108,Infinite Painter,"3,9",Je regrette d'avoir acheté le logiciel. Ayant voulu augmenter mon niveau en matière de speed painting j'étais bien partie car l'interface et les pinceaux sont formidables. Sauf que lorsque vous créez votre 30 ème calque (après en avoir fusionné un paquet) l'application se met à buger . Elle s'éteint toute seule et supprime parfois des calques ! (après 2h de travail sur des cheveux réalistes ça fait mal.) trouvez vite une solution ou j'irais à la concurrence !,2
109,Infinite Painter,"3,9","On retrouve le plaisir de peindre. J'ai chargé cette application pour réaliser des aquarelles lors de mes randonnées et je ne suis pas déçu. On peut régler la diffusion de la peinture, la gomme rend très bien les ouvertures de blanc .... L'incrustation du modèle, la mémorisation les couleurs utilisées ou la possibilité de copier une couleur sont de bonnes idées. L'exportation en format jpeg fonctionn pour imprimer des cartes postales En conclusion on a du plaisir à peindre avec cet outil.",3
110,Infinite Painter,"3,9","l'application est vraiment bien, une prise en main facil avec des option très pratique mais il y a des options payante, je peut le comprendre mais c'est juste dommage car j'avais bien accroché à une option mais qui n'était en fait qu'une periode d'essayage du coup quand la période a expiré je n'ai plus eu l'option et sa ma rajouter des contraintes. Elle permetait de gagner un peu de temps et de pas s'inquiéter quand on utilisait la gomme. Mais sinon elle est quand même cool l'application",5
111,Infinite Painter,"3,9","J'aime cette app qui m'a permet de réaliser ma passion , j'ai trouver quelques difficultés à l'utilisation de certains outils et à la création de nouveaux pinceaux et crayons,....",4
112,Infinite Painter,"3,9",Elle est de loin la meilleur que les applications que j'ai utilisé précédemment 🤩🤩 Je vous la recommande fortement si vous êtes déjà un artiste bien sur !,5
113,Doodle Master - Glow Art,"4,5",C'est une très agréable expérience de dessin. Une étoile en moins car il y a trop de couleurs ou pinceaux qui ne sont disponibles qu'à ceux qui sont en premium ou d'autres qui regardent 15 publicités par jour. À chaque nouveau dessin il faut à nouveau voir des publicités pour les mêmes couleurs et pinceaux déverrouillés sur le dessin précédent. Seul bémol à mon avis car la jouabilité est excellente et les couleurs lumineuses.,4
114,Doodle Master - Glow Art,"4,5","Ce jeu est trop blinder de pub ,mais ce pendant il est bien le cadre est un peu petit je dirais aussi😐 enfin bof Télécharger le jeux Rivals star horde racing 🏇",3
115,Doodle Master - Glow Art,"4,5",Ce jeu est super on peux faire des dessins magnifiquement magiques! ✏🎨,5
116,Doodle Master - Glow Art,"4,5",J'adore mais trop de pub et pas assez de pinceaux,2
117,Doodle Master - Glow Art,"4,5",Très bien ! On peut faire des dessins magnifiques ! 😊,5
118,Doodle Master - Glow Art,"4,5",J'aime beaucoup ce jeu de dessin il y a quelques dessins ce lui qui aime vraiment ce jeu me donne son avis 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😘😘😘😘😘😘🥰🥰😘😘😘😘🥰🥰😍😍😘🥰🥰😍😘🥰🥰😘😘🥰🥰🥰😘😍😘😘🥰🥰🥰🥰😍😍😘😘🥰🥰🥰🥰🥰🥰🤣😘😘😘🥰🥰😘😍😘😘🥰,5
119,Doodle Master - Glow Art,"4,5",Un jeux extraordinaires qui est divertissant pour grants et petits,5
120,Doodle Master - Glow Art,"4,5","Excellent !!! Je trouve l'appli très simple à comprendre et utiliser, tout en ayant beaucoup de options, d'éléments.",5
121,Doodle Master - Glow Art,"4,5","J'ADORE !!!!!!! 😍😍😍 On peut créer des mandalas facilement ! Moi ce que je fais, c'est qu'après avoir créé mon mandala, je l'imprime ! Comme ça je l'ai sur forma papier !!! 😝",5
122,Doodle Master - Glow Art,"4,5",J est bien aimé on se fait des trucs simetric et tous soit j'ai bien aimé,5
123,Doodle Master - Glow Art,"4,5",Je met 4 étoiles car cette application est très bien mais c'est dommage que tous les stylos ne sont pas disponibles,5
124,Doodle Master - Glow Art,"4,5",Moi qui adore le dessin ses bien pour s'amuser et pour faire des art.,4
125,Doodle Master - Glow Art,"4,5",Magnifique les dessins,5
126,Doodle Master - Glow Art,"4,5",Je vous conseille ce jeu il est formidable attention au pub il en a un peu beaucoup👍👍👍👍👍👍👍,5
127,Doodle Master - Glow Art,"4,5","Se jeux est incroyable, les graphismes, les crayon, les couleur est vraiment beaux, après j'ai un bug enfait je crée une couleur avec le bouton + est j'ai cliker sur le bouton free est sa ma enlevez la page ou on crée les couleur est je suis revenu sur mon dessin est aussi je peut regarder une pud pour un stylo, et aussi pouvez vous me règles se problèmes merci de m'avoir lue.",5
128,Doodle Master - Glow Art,"4,5","J'aime bien , Mais il y a trop de pub je vous dirais quand même de l'installer car il est cool 😎 Il faut avoir beaucoup de créativité . Je vous le conseille vivement . Bonne journée 😉",5
129,Doodle Master - Glow Art,"4,5","Après avoir cherché longtemps une application pour générer des mandalas, j'ai trouvé celle-ci qui est géniale. Elle offre de nombreuses possibilités de création. On peut sauvegarder, partager et imprimer, bref tout ce que je cherchais.",4
130,Doodle Master - Glow Art,"4,5",J'adore cette application elle est totalement pour les enfants de moins de 5 ans,5
131,Doodle Master - Glow Art,"4,5",J'ai beaucoup aimé le jeu. Ce que j'ai beaucoup apprécié c'est le fait que notre création s'affiche dans la galerie . Petit bémol il n'y a pas assez de fonctions dans les stylos en plus de ça on ne peut pas choisir les couleurs sinon bravo,4
132,Doodle Master - Glow Art,"4,5","Ce jeu donne vraiment la fibre artistique et on se rend compte grâce à ce jeu que ce que l'on fait en une fois avec un crayon(moche ou pas) multiplier peut être très très très beau voilà, après mon avis c'est mon avis mais je recommande vraiment ce jeu",5
133,Doodle Master - Glow Art,"4,5",On comprend vite à comment s'en servir il y a plusieurs couleur lumineuse ou normal en mode pinceau mais le mieux c'est que c'est nous qui le créer et aussi on peut prendre de 2 à droite en bas à gauche et carré on peut prendre des traits de deux 2 de 6 de 7 de tous les nombres c'est sympa je le conseille,4
134,Doodle Master - Glow Art,"4,5",Bonjour je vous conseille se jeux car tu veux devenir une artiste (comme moi) super jeux mes j ai mi la note de 3 sur 5 car il n'y a pas trop de choix domage😢 et sans oublier on peut le mettre en galerie👍 mes ont peut pas le mettre en vidéo ☹️donc à améliorer mes vraiment super dite oui en bas car il est utile mon com 👇,5
135,Doodle Master - Glow Art,"4,5",Franchement je m'attendais à mieux ! je préfère rester sur doodle normal. Là il n'y a que trois stylo disponible si on veut pas payer ! pratiquement tout est premium ! Je suis extrêmement dessus !!,3
136,Doodle Master - Glow Art,"4,5","J'adore ça, je le conseille, des défauts comme qu'il y a beaucoup de pub, mais on fait avec ce qu'on a, enfaite, pour ceux qui ne comprennent pas le principe du jeu, c'est que tu choisis ta réflexion, tu fais plusieurs traits et tu laisses aller ta créativité, puis ensuite ça donne de beaux dessins, après ça va te donne la vidéo maker de ton dessin, voilà j'espère que mes explications sont claires😅☺😉",3
137,Doodle Master - Glow Art,"4,5","Trop de la balle Wesh !!!!! !!!!!!!! !!!!! !!!! Je vous conseille se jeux a 999,9% seul inconvenien on doit payer pou des pinceaux pas obliger les 3 me suvise ❤❤❤❤❤❤😇💑😷😷🔪",1
138,Doodle Master - Glow Art,"4,5",J'aime bien le jeu il n'y a pas beaucoup de pub . Je met 5 étoiles . Je le recommande vivement . Du coup installer le vite . Ouais !!!!!!!! 😊😊😊😊😊😊😊😊,5
139,Doodle Master - Glow Art,"4,5","Je trouve le jeu pas mal, il est sympa sachant que je ne dessine pas très bien",4
140,Doodle Master - Glow Art,"4,5","Elle a pris ben de temps à chargé,au visuel celle application est très attirante. elle et super facile et en même temps très occupent,",5
141,Doodle Master - Glow Art,"4,5",J’adore cette appli au début on a du mal a s’y habitué mais quand on a les bon gestes on comprend mieux. C’est trop bien ❤👍🏼👍🏼😄😄😁😁,4
142,Doodle Master - Glow Art,"4,5","J'adore cette application, elle est magnifique.... Wowhh, et les stylos c'est ça le problème mais autres choses non ça reste cool",3
143,Doodle Master - Glow Art,"4,5","Salut! J'adore votre application, elle est superbe😍😍😍! Mais je ne donne que 4 étoiles car il y a beaucoup de pub! Sinon, c'est cool😊😊😊.",4
